 PATH                                                                                                                                                                     | SIZE      | CREATED    | MODIFIED   | PLEN | FLEN 
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/discover.cpython-313.pyc                                                                      | 16351     | 1749664750 | 1749664750 | 99   | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/pyside.cpython-313.pyc                                                                        | 1097      | 1749664750 | 1749664750 | 97   | 22   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/core.cpython-313.pyc                                                                          | 14551     | 1749664750 | 1749664750 | 95   | 20   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/version.cpython-313.pyc                                                                       | 875       | 1749664750 | 1749664750 | 98   | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/__init__.cpython-313.pyc                                                                      | 1523      | 1749664750 | 1749664750 | 99   | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/__pycache__/pyside6.cpython-313.pyc                                                                       | 890       | 1749664750 | 1749664750 | 98   | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/pyside.py                                                                                                 | 1799      | 1749664750 | 1749664750 | 72   | 9    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/pyqt4.py                                                                                                  | 1799      | 1749664750 | 1749664750 | 71   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev/wx.py                                                                                                     | 4699      | 1749664750 | 1749664750 | 68   | 5    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell-0.0.36.dist-info/entry_points.txt                                                                         | 82        | 1749664750 | 1749664750 | 96   | 16   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell-0.0.36.dist-info/WHEEL                                                                                    | 91        | 1749664750 | 1749664750 | 85   | 5    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell-0.0.36.dist-info/METADATA                                                                                 | 17860     | 1749664750 | 1749664750 | 88   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell-0.0.36.dist-info/RECORD                                                                                   | 2150      | 1749664750 | 1749664750 | 86   | 6    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell-0.0.36.dist-info/REQUESTED                                                                                | 0         | 1749664750 | 1749664750 | 89   | 9    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell-0.0.36.dist-info/licenses/LICENSE                                                                         | 1079      | 1749664750 | 1749664750 | 96   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell-0.0.36.dist-info/top_level.txt                                                                            | 13        | 1749664750 | 1749664750 | 93   | 13   
